t_s,temp_c,sm_clk_mhz,power_w,util_pct,throttle_thermal,throttle_powercap,reasons_raw
25.804,82,135,55.2,0,0,0,1
25.875,82,135,55.2,0,0,0,1
25.929,82,135,55.3,0,0,0,1
25.985,82,135,55.3,0,0,0,1
26.046,82,135,55.3,0,0,0,1
26.107,82,135,55.2,0,0,0,1
26.168,82,135,55.2,0,0,0,1
26.226,82,135,55.2,0,0,0,1
26.287,82,135,55.2,0,0,0,1
26.348,82,135,55.2,0,0,0,1
26.407,82,135,55.2,0,0,0,1
26.469,82,135,55.2,0,0,0,1
26.526,82,135,55.3,0,0,0,1
26.589,82,135,55.2,0,0,0,1
26.65,82,135,55.3,0,0,0,1
26.71,82,135,55.2,0,0,0,1
26.77,82,135,55.3,0,0,0,1
26.829,82,135,55.2,0,0,0,1
26.892,82,135,55.2,0,0,0,1
26.951,82,135,55.3,0,0,0,1
27.026,82,135,55.2,0,0,0,1
27.08,82,135,55.2,0,0,0,1
27.14,82,135,55.2,0,0,0,1
27.194,82,135,55.2,0,0,0,1
27.252,82,135,55.2,0,0,0,1
27.313,82,135,55.2,0,0,0,1
27.373,82,135,55.2,0,0,0,1
27.433,82,135,55.2,0,0,0,1
27.498,82,135,55.2,0,0,0,1
27.553,82,135,55.3,0,0,0,1
27.613,82,135,55.2,0,0,0,1
27.674,82,135,55.3,0,0,0,1
27.732,82,135,55.2,0,0,0,1
27.795,82,135,55.3,0,0,0,1
27.856,82,135,55.2,0,0,0,1
27.916,82,135,55.2,0,0,0,1
27.978,82,135,55.2,0,0,0,1
28.038,82,135,55.3,0,0,0,1
28.099,82,135,55.2,0,0,0,1
28.157,82,135,55.2,0,0,0,1
28.219,82,135,55.1,0,0,0,1
28.278,82,135,55.2,0,0,0,1
28.343,82,135,55.2,0,0,0,1
28.407,82,135,55.3,0,0,0,1
28.463,82,135,55.3,0,0,0,1
28.52,82,135,55.2,0,0,0,1
28.58,82,135,55.3,0,0,0,1
28.641,82,135,55.3,0,0,0,1
28.705,82,135,55.2,0,0,0,1
28.765,82,135,55.3,0,0,0,1
28.82,82,135,55.4,0,0,0,1
28.881,82,135,55.3,0,0,0,1
28.94,82,135,55.2,0,0,0,1
29.001,82,135,55.2,0,0,0,1
29.062,82,135,55.2,0,0,0,1
29.123,82,135,55.3,0,0,0,1
29.182,82,135,55.2,0,0,0,1
29.243,82,135,55.2,0,0,0,1
29.303,82,135,55.2,0,0,0,1
29.363,82,135,55.3,0,0,0,1
29.423,82,135,55.3,0,0,0,1
29.484,82,135,55.2,0,0,0,1
29.545,82,135,55.2,0,0,0,1
29.604,82,135,55.2,0,0,0,1
29.664,82,135,55.2,0,0,0,1
29.727,82,135,55.3,0,0,0,1
29.785,82,135,55.3,0,0,0,1
29.844,82,135,55.2,0,0,0,1
29.907,82,135,55.2,0,0,0,1
29.966,82,135,55.3,0,0,0,1
30.027,82,135,55.2,0,0,0,1
30.086,82,135,55.2,0,0,0,1
30.147,82,135,55.3,0,0,0,1
30.207,82,135,55.3,0,0,0,1
30.268,82,135,55.2,0,0,0,1
30.329,82,135,55.2,0,0,0,1
30.389,82,135,55.2,0,0,0,1
